experiment,client_noise,server_noise,round,avg_accuracy,avg_demographic_parity_gap,min_demographic_parity_gap,max_demographic_parity_gap,num_fairness_gaps_found
No-DP,0.0,0.0,1,0.776,0.12325174825174827,0.09090909090909091,0.15384615384615385,3
No-DP,0.0,0.0,2,0.776,0.12325174825174827,0.09090909090909091,0.15384615384615385,3
No-DP,0.0,0.0,3,0.776,0.12325174825174827,0.09090909090909091,0.15384615384615385,3
No-DP,0.0,0.0,4,0.776,0.12325174825174827,0.09090909090909091,0.15384615384615385,3
No-DP,0.0,0.0,5,0.776,0.12325174825174827,0.09090909090909091,0.15384615384615385,3
Local DP Only,0.1,0.0,1,0.778,0.13863636363636364,0.09090909090909091,0.2,3
Local DP Only,0.1,0.0,2,0.773,0.12325174825174827,0.09090909090909091,0.15384615384615385,3
Local DP Only,0.1,0.0,3,0.777,0.09912894123420439,0.05263157894736842,0.15384615384615385,3
Local DP Only,0.1,0.0,4,0.777,0.19269619269619268,0.09090909090909091,0.3333333333333333,3
Local DP Only,0.1,0.0,5,0.778,0.40215924426450744,0.05263157894736842,1.0,3
Global DP Only,0.0,0.05,1,0.776,0.12325174825174827,0.09090909090909091,0.15384615384615385,3
Global DP Only,0.0,0.05,2,0.776,0.12325174825174827,0.09090909090909091,0.15384615384615385,3
Global DP Only,0.0,0.05,3,0.776,0.12325174825174827,0.09090909090909091,0.15384615384615385,3
Global DP Only,0.0,0.05,4,0.776,0.12325174825174827,0.09090909090909091,0.15384615384615385,3
Global DP Only,0.0,0.05,5,0.776,0.12325174825174827,0.09090909090909091,0.15384615384615385,3
Both DP,0.1,0.05,1,0.78,0.15355477855477856,0.125,0.18181818181818182,3
Both DP,0.1,0.05,2,0.779,0.42628205128205127,0.125,1.0,3
Both DP,0.1,0.05,3,0.771,0.13673577884104202,0.05263157894736842,0.26666666666666666,3
Both DP,0.1,0.05,4,0.782,0.19269619269619268,0.09090909090909091,0.3333333333333333,3
Both DP,0.1,0.05,5,0.777,0.15041099251625567,0.05263157894736842,0.3076923076923077,3
